AHJID,AHJ,State
1161,Santa Barbara County,CA
1162,Santa Clara,CA
1163,Santa Clara County,CA
1164,Santa Clarita,CA
1165,Santa Cruz,CA
1166,Santa Cruz County,CA
1167,Santa Maria,CA
1168,Santa Monica,CA
1169,Santa Rosa,CA
1170,Santee,CA
1171,Saratoga,CA
1172,Sausalito,CA
1173,Scotts Valley,CA
1174,Seal Beach,CA
1175,Seaside,CA
1176,Sebastopol,CA
1177,Selma,CA
1179,Sierra Madre,CA
1180,Simi Valley,CA
1181,Solana Beach,CA
1182,Solano County,CA
1183,Sonoma,CA
1184,Sonoma County,CA
1187,South Pasadena,CA
1188,South San Francisco,CA
1189,Stanford,CA
1191,Stanislaus County,CA
1192,Stanton,CA
1193,Stockton,CA
1194,Strathmore,CA
1195,Suisun City,CA
1196,Sunnyvale,CA
1198,Sutter County,CA
1200,Temecula,CA
1201,Thousand Oaks,CA
1202,Tiburon,CA
1204,Torrance,CA
1206,Tracy,CA
1207,Tulare,CA
1208,Tulare County,CA
1209,Tuolumne County,CA
1210,Tustin,CA
1211,Union City,CA
1212,Vacaville,CA
1213,Vallejo,CA
1214,Ventura,CA
1215,Ventura County,CA
1216,Villa Park,CA
1217,Visalia,CA
1218,Vista,CA
1219,Walnut,CA
1220,Walnut Creek,CA
1221,Watsonville,CA
1222,West Covina,CA
1223,West Hollywood,CA
1224,West Sacramento,CA
1225,Westlake Village,CA
1226,Westminster,CA
1227,Whittier,CA
1228,Wildomar,CA
1229,Willow Creek,CA
1230,Windsor,CA
1231,Winters,CA
1232,Woodland City,CA
1233,Woodside,CA
1234,Yolo County,CA
1235,Yorba Linda,CA
1236,Yuba City,CA
1237,Yuba County,CA
1238,Yucaipa,CA
1239,Apache Junction,AZ
1240,Avondale,AZ
1241,Buckeye,AZ
1242,Casa Grande,AZ
1243,Cave Creek,AZ
1244,Chandler,AZ
1245,El Mirage,AZ
1246,Fountain Hills,AZ
1247,Gilbert,AZ
1248,Glendale,AZ
1249,Goodyear,AZ
1250,Guadalupe,AZ
1251,Litchfield Park,AZ
1252,Maricopa County,AZ
1253,Mesa,AZ
1254,Paradise Valley,AZ
1255,Peoria,AZ
1256,Phoenix,AZ
1257,Pinal County,AZ
1258,Queen Creek Town,AZ
1259,Scottsdale,AZ
1260,Surprise,AZ
1261,Tempe,AZ
1262,Wickenburg,AZ
1263,Yavapai County,AZ
1264,Youngtown,AZ
1265,Ashland,OR
1266,Astoria,OR
1267,Clatsop County,OR
1268,Hillsboro,OR
1269,Portland,OR
1270,Tigard,OR
1272,City and County of Honolulu,HI
1273,Kalawao County,HI
1274,Kauai County,HI
1275,Maui County,HI
1304,Lawndale,CA
1305,Paso Robles,CA
1306,Pomona,CA
1307,Sierra County,CA
1308,Temple City,CA
1309,Flagstaff,AZ
1310,Tucson,AZ
1311,Albany,OR
1312,Beaverton,OR
1313,Clackamas County,OR
1314,Cornelius,OR
1315,Estacada,OR
1316,Happy Valley,OR
1317,Lake Oswego,OR
1318,Marion County,OR
1319,Maywood Park,OR
1320,Milwaukie,OR
1321,Multnomah County,OR
1324,Salem,OR
1325,Sherwood,OR
1326,Silverton,OR
1327,Springfield,OR
1328,Washington County,OR
1363,Bear Valley Electric Service,CA
1364,Pacific Gas and Electric Company,CA
1365,Pacific Power (CA),CA
1366,San Diego Gas & Electric,CA
1367,Sierra-Pacific Power,NV
1368,Southern California Edison,CA
1369,California Municipal Utilities Association,CA
1370,Alameda Municipal Utilities,CA
1371,Anaheim Public Utilities Department,CA
1372,Azusa Light & Water Department,CA
1373,Banning Electric Department,CA
1374,Biggs Electrical Department,CA
1375,Burbank Water and Power,CA
1376,City of Coalinga,CA
1377,City of Rancho Cucamonga,CA
1378,City of Victorville,CA
1379,Cerritos Electric Utility,CA
1380,Colton Electric Utility,CA
1381,Corona Department of Water and Power,CA
1382,Glendale Public Service Department,CA
1383,Gridley Municipal Utilities,CA
1384,Healdsburg Municipal Electric Dept.,CA
1385,Hercules Municipal Utility,CA
1386,Hetch Hetchy Water & Power,CA
1387,Lodi Municipal Electric System,CA
1388,Lompoc Utility Services,CA
1389,Los Angeles Department of Water & Power,CA
1390,Moreno Valley Electrical Utility,CA
1391,City of Needles,CA
1392,Palo Alto Electric Utility,CA
1393,Pasadena Water and Power Department,CA
1394,City of Redding Electric Utility,CA
1395,Riverside Utilities Department,CA
1396,Roseville Electric Department,CA
1397,Sacramento Municipal Utility District,CA
1398,Silicon Valley Power,CA
1399,Ukiah Municipal Utility District,CA
1400,Vernon Municipal Light Department,CA
1401,Anza,CA
1402,Plumas-Sierra Rural Electric Cooperative,CA
1403,Surprise Valley Electrification Corp.,CA
1404,U.S. Bureau of Reclamation,CA
1405,California Bureau of Reclamation,CA
1406,Central California Power Agency,CA
1407,Imperial Irrigation District,CA
1408,Lassen Municipal Utility District,CA
1409,Merced Irrigation District,CA
1410,Modesto Irrigation District,CA
1411,Nevada Irrigation District,CA
1412,Northern California Power Agency,CA
1413,Oroville/Wyandotte Irrigation District,CA
1414,Placer County Water Agency,CA
1415,Shasta Dam Public Utilities District,CA
1416,Transmission Agency of Northern California,CA
1417,Trinity County Public Utility District,CA
1418,Truckee-Donner Public Utilities District,CA
1419,Turlock Irrigation District,CA
1420,Mountain Utilities,CA
1421,Arizona Public Service Company,AZ
1422,Salt River Project,AZ
1423,City of Mesa Utilities,AZ
1424,Tucson Electric Power,AZ
1425,Electrical District #3,AZ
1427,Pacific Power (OR),OR
1428,Eugene Water & Electric Board,OR
1429,"Hawaiian Electric Industries, Inc.",HI
1430,Maui Electric Company,HI
1432,Hawaiian Electric Company,HI
1433,Generic Utility,GN
1434,Clark Public Utilities,WA
1435,City of Ellensburg Utilities,WA
1436,Xcel Energy (CO),CO
1437,PNM,NM
1438,Red Rose Valley,OR
1439,Lemon Grove,CA
1440,Dallas,TX
1441,Newberg,OR
1442,Polk County,OR
1446,Maricopa,AZ
1447,Prescott,AZ
1448,Palmdale,CA
1451,Carefree,AZ
1452,Peach Tree,
1453,Plano,TX
1454,Irving,TX
1455,Mesquite,TX
1456,Garland,TX
1457,Duarte,CA
1458,Pismo Beach,CA
1459,Boulder,CO
1460,Denver,CO
1461,Jefferson County,CO
1462,Golden,CO
1463,Aurora,CO
1464,Douglas County,CO
1465,Boulder County,CO
1466,Brighton,CO
1467,Commerce City,CO
1468,Glendale,CO
1469,Federal Heights,CO
1470,Thornton,CO
1471,Northglenn,CO
1472,Lakewood,CO
1475,Edgewater,CO
1476,Mountain View,CO
1477,Wheat Ridge,CO
1478,Arvada,CO
1479,Erie,CO
1480,Louisville,CO
1481,Littleton,CO
1482,Weld County,CO
1483,Arapahoe County,CO
1484,Superior,CO
1485,Lafayette,CO
1486,Broomfield,CO
1487,Westminster,CO
1489,Bend,OR
1495,Grapevine,TX
1497,McKinney,TX
1498,Allen,TX
1499,Arlington,TX
1501,Carrollton,TX
1502,Farmers Branch,TX
1503,Heath,TX
1504,Richardson,TX
1506,Grand Prairie,TX
1507,Wylie,TX
1508,Lewisville,TX
1509,The Colony City,TX
1510,Royse,TX
1511,Rowlett,TX
1513,Eugene,OR
1514,Gresham,OR
1516,San Pablo,CA
1517,Hood River,OR
1519,Lane County,OR
1520,Kerman,CA
1521,South Tucson,AZ
1522,Marana,AZ
1523,Oro Valley,AZ
1524,Sahuarita,AZ
1525,Windsor Point HOA,CA
1529,Lathrop,CA
1533,Isleton,CA
1534,Rancho Cordova,CA
1535,Galt,CA
1536,Colfax,CA
1537,Roseville,CA
1538,Nevada City,CA
1539,Truckee,CA
